INSTNM,UGDS,UGDS_NRA,TUITFTE
HUNTINGTON MEMORIAL HOSPITAL SCHOOL OF XRAY TECHN,6,0,NULL
Imperial Valley College,4908,0.0116,NULL
Institute for Business and Technology,182,0,NULL
INSTITUTE FOR CREATION RESEARCH,NULL,NULL,NULL
INSTITUTE OF COMPUTER TECHNOLOGY,231,0.1645,NULL
Interior Designers Institute,253,0.0198,NULL
INTERNATIONAL AIR ACADEMY,158,0,NULL
Toni & Guy Hairdressing Academy-Santa Monica,41,0,NULL
Irvine Valley College,4898,0.0947,NULL
ITT Technical Institute-National City,760,0.0908,NULL
ITT Technical Institute-San Dimas,680,0.1838,NULL
ITT Technical Institute-Orange,706,0.2054,NULL
Bellus Academy-El Cajon,147,0,NULL
JESUIT SCHOOL OF THEOLOGY AT BERKELEY,NULL,NULL,NULL
John F. Kennedy University,278,0,NULL
American Jewish University,105,0.0381,NULL
Reedley College,4461,0.0108,NULL
Life Pacific College,424,0.0142,NULL
Argosy University-The Art Institute of California-San Diego,279,0.1398,NULL
University of La Verne,3024,0.001,NULL
Laguna College of Art and Design,196,0.1224,NULL
Lake Tahoe Community College,853,0.0047,NULL
Lancaster Beauty School,76,0,NULL
Laney College,5681,0.0162,NULL
Lassen Community College,985,0,NULL
Life Chiropractic College West,NULL,NULL,NULL
La Sierra University,857,0.1669,NULL
Loma Linda University,1149,0.0374,NULL
Long Beach City College,10827,0.019,NULL
Southern California University of Health Sciences,NULL,NULL,NULL
Los Angeles Harbor College,3513,0.0356,NULL
Los Angeles Pierce College,6375,0.0406,NULL
Los Angeles Southwest College,2274,0.007,NULL
Los Angeles Trade Technical College,4328,0.0217,NULL
Los Angeles Valley College,6179,0.0379,NULL
The Master's College and Seminary,887,0.0124,NULL
Los Angeles City College,6430,0.0717,NULL
HARBOR-UCLA MEDICAL CENTER,0,0,NULL
Los Angeles County College of Nursing and Allied Health,140,0,NULL
Los Angeles Mission College,2300,0.0535,NULL
Los Medanos College,3793,0.005,NULL
Argosy University-The Art Institute of California-San Francisco,25,0.24,NULL
LOYOLA LAW SCHOOL,2052,0.0375,NULL
Loyola Marymount University,2061,0.0378,NULL
Manchester Beauty College,58,0,NULL
Tulare Beauty College,38,0,NULL
Lyles Fresno College of Beauty,48,0,NULL
Lytles Redwood Empire Beauty College Inc,52,0,NULL
MTI Business College Inc,348,0,NULL
MTI College,665,0,NULL
Brightwood College-Sacramento,129,0,NULL
Brightwood College-San Diego,928,0,NULL
Brightwood College-Vista,481,0,NULL
MARIN BEAUTY COLLEGE,43,0,NULL
College of Marin,3253,0.0234,NULL
Marinello Schools of Beauty-Los Angeles,52,0,NULL
MARINELLO SCHOOL OF BEAUTY,50,0,NULL
MARINELLO SCHOOL OF BEAUTY,18,0,NULL
MARINELLO SCHOOL OF BEAUTY,20,0,NULL
MARINELLO SCHOOL OF BEAUTY,55,0,NULL
MARINELLO SCHOOL OF BEAUTY,83,0,NULL
MARINELLO SCHOOL OF BEAUTY,44,0,NULL
MARINELLO SCHOOL OF BEAUTY,31,0,NULL
MARINELLO SCHOOL OF BEAUTY,78,0,NULL
MARINELLO SCHOOL OF BEAUTY,64,0,NULL
Marymount California University,909,0.165,NULL
MASTERS INSTITUTE,1435,0.0571,NULL
UNIVERSITY OF THE PACIFIC-MCGEORGE SCHOOL OF LAW,1378,0.0479,NULL
Mendocino College,1705,0.0012,NULL
Menlo College,507,0.1164,NULL
MENNONITE BRETHREN BIBLICAL SEMINARY,NULL,NULL,NULL
Merced College,4804,0.0085,NULL
Merritt College,2460,0.0098,NULL
Mills College,770,0.013,NULL
MiraCosta College,4223,0.0263,NULL
Marinello Schools of Beauty-San Francisco,108,0.2222,NULL
Mission College,4225,0.0653,NULL
Modern Beauty Academy,54,0,NULL
Brightwood College-North Hollywood,462,0,NULL
Modesto Junior College,9420,0.0188,NULL
MOLER BARBER COLLEGE,19,0,NULL
Moler Barber College,29,0,NULL
Middlebury Institute of International Studies at Monterey,65,0.6923,NULL
Monterey Peninsula College,3021,0.045,NULL
MONTESSORI WESTERN TEACHER TRAINING PROGRAM,0,0,NULL
Moorpark College,7166,0.0174,NULL
MORO BEAUTY COLLEGE,149,0,NULL
Mt San Antonio College,15467,0.0409,NULL
Mount Saint Mary's University,1631,0.0098,NULL
Mt San Jacinto Community College District,4405,0.0016,NULL
Musicians Institute,78,0.5256,NULL
Napa Valley College,3207,0.0097,NULL
BRYMAN COLLEGE,490,0.0041,NULL
Everest College-Reseda,353,0,NULL
BRYMAN COLLEGE,335,0.003,NULL
BRYMAN COLLEGE SOUTH CAMPUS,94,0,NULL
Everest College-Gardena,313,0,NULL
Everest College-Alhambra,438,0,NULL
SAWYER COLLEGE A CORINTHIAN SCHOOL,70,0,NULL
Everest College-San Bernardino,351,0.0028,NULL
The National Hispanic University,83,0.0602,NULL
National Holistic Institute,398,0.0025,NULL
National University,4360,0.0284,NULL
Naval Postgraduate School,NULL,NULL,NULL
NEW COLLEGE FOR ADVANCED CHRISTIAN STUDY-BERKELEY,NULL,NULL,NULL
NEW COLLEGE OF CALIFORNIA,514,0.0214,NULL
Newschool of Architecture and Design,92,0,NULL
MARINELLO SCHOOL OF BEAUTY,104,0,NULL
NEWBERRY SCHOOL OF BEAUTY,96,0,NULL
Newberry School of Beauty,91,0,NULL
North Adrian's College of Beauty Inc,77,0,NULL
North-West College-Pomona,130,0,NULL
North-West College-West Covina,191,0,NULL
North-West College-Pasadena,65,0,NULL
Notre Dame de Namur University,948,0.096,NULL
Occidental College,1519,0.0349,NULL
Oceanside College of Beauty,85,0,NULL
Ohlone College,4870,0.0283,NULL
Orange Coast College,15033,0.0403,NULL
Otis College of Art and Design,707,0.1924,NULL
Oxnard College,2721,0.0176,NULL
Hope International University,751,0.0866,NULL
Concorde Career College-San Diego,259,0,NULL
Palo Alto University,NULL,NULL,NULL
Pacific Lutheran Theological Seminary,NULL,NULL,NULL
Pacific Oaks College,125,0.04,NULL
Pacific School of Religion,NULL,NULL,NULL
PACIFIC TRAVEL TRADE SCHOOL,869,0,NULL
Pacific Union College,1551,0.1522,NULL
University of the Pacific,1383,0.0477,NULL
PAGE ANTELOPE VALLEY BEAUTY SCHOOL,67,0,NULL
PALMER COLLEGE OF CHIROPRACTIC-WEST,NULL,NULL,NULL
Palo Verde College,376,0.0106,NULL
Palomar College,12796,0.0222,NULL
PARAMOUNT SCHOOL OF BEAUTY,69,0,NULL
Paris Beauty College,124,0,NULL
Pasadena City College,16190,0.0608,NULL
PATTEN COLLEGE,680,0.0206,NULL
Pepperdine University,3148,0.0816,NULL
Pitzer College,871,0.0517,NULL
Platt College-San Diego,272,0.0037,NULL
Point Loma Nazarene University,2014,0.0169,NULL
Pomona College,1552,0.0245,NULL
Porterville College,1577,0.0063,NULL
